companyId,exchangeCode,symbol,lastClosePrice
32184,BSE,500302,1808.0
32205,NasdaqCM,NVEC,70.0
32215,NYSE,JWN,37.43
32236,NasdaqGM,NTIC,16.1
32261,NasdaqGS,INSG,16.53
32305,NasdaqGS,NUVA,57.03
32307,NasdaqGS,NVDA,574.23
32356,NasdaqGS,ODP,45.39
32388,NasdaqGM,OMER,22.67
32401,NasdaqGS,OMCL,128.47
32410,NYSE,ASGN,95.8
32538,NasdaqGS,OFIX,44.98
32583,NYSE,OI,12.27
32651,AMEX,PTN,0.857
32710,NasdaqGS,PTC,142.95
32789,NasdaqGS,PDFS,17.87
32792,NYSE,BTU,4.47
32854,NasdaqGS,PEP,131.99
32943,ENXTAM,PHARM,1.092
33000,AMEX,IBIO,2.05
33018,SEHK,2318,94.35
33042,NasdaqGM,PXLW,3.62
33067,NYSE,PLT,39.1
33163,NasdaqGS,POWI,92.76
33184,NasdaqGS,PRAH,127.3
33254,NasdaqGS,BKNG,2350.02
33284,NYSE,HCHC,3.95
33328,NYSE,PG,126.58
33351,NasdaqGS,PRGS,44.29
33352,NYSE,PGR,87.79
33386,NYSE,ADT,9.72
33398,NasdaqGS,MODV,154.54
33471,NYSE,QGEN,54.79
33493,NasdaqGS,QCOM,139.46
33509,NYSE,PWR,77.91
33535,NasdaqCM,QUIK,7.45
33574,NasdaqCM,UONE.K,1.82
33585,NasdaqGS,RDWR,27.01
33604,NasdaqGS,RMBS,21.5
33614,HLSE,RAP1V,6.64
33660,NasdaqGS,RNWK,5.02
33715,NasdaqGS,REGN,460.58
33718,NYSE,TSQ,10.15
33758,NYSE,RNR,158.94
33765,NasdaqGS,RCII,54.5
33769,NasdaqGS,RGEN,210.77
33797,NYSE,RH,500.52
33813,NYSE,REV,12.11
33821,NasdaqGS,QRVO,172.28
33851,NasdaqGS,RIGL,4.61
33880,NYSE,GPK,16.22
33897,NYSE,WRK,43.84
33926,NasdaqGS,ROST,121.5
33946,NYSE,ONTO,64.32
33956,NYSE,R,66.68
34023,SEHK,1910,13.86
34039,NasdaqGS,SANM,35.02
34071,NasdaqGS,SBAC,259.7
34093,NYSE,SCHW,62.95
34109,NasdaqCM,INVE,11.66
34117,NasdaqGS,POOL,314.43
34145,NasdaqGS,SGEN,157.58
34176,NasdaqGS,SNBR,126.68
34205,AMEX,SENS,4.09
34310,BASE,TXAR,53.4
34317,TSX,SW,22.38
34335,NasdaqGS,SLGN,38.13
34345,NasdaqGS,SLAB,162.11
34378,NYSE,SPG,112.77
34391,NasdaqGS,SINA,43.39
34509,XTRA,SOW,37.42
34555,NasdaqGS,RBBN,9.07
34590,NasdaqGS,LORL,42.85
34592,NasdaqCM,ASTC,2.92
34668,NasdaqGS,BOOM,67.78
34696,NasdaqGS,SPSC,109.06
34709,NasdaqGS,SSNC,66.96
34730,NasdaqGS,STMP,199.93
34745,NasdaqGS,SBUX,101.81
34768,NasdaqGS,STLD,42.04
34778,AMEX,STXS,5.66
34780,NasdaqGS,SRCL,67.78
34783,NYSE,STE,175.62
34817,NasdaqGS,BLDR,41.38
34839,NasdaqGS,SSYS,40.29
34916,NasdaqCM,SNSS,3.56
34933,NasdaqGS,AMSC,24.63
34955,NasdaqCM,SPRT,2.36
34999,NasdaqGS,LAUR,14.35
35000,NasdaqGS,NLOK,20.51
35013,NasdaqGS,SYNA,131.96
35028,NasdaqGS,SNPS,254.69
35111,NYSE,TARO,74.24
35259,NYSE,TEN,10.94
35290,NYSE,TTI,2.49
35303,NYSE,TXT,50.61
35312,NYSE,AES,27.0
35335,NasdaqGS,PLCE,69.04
35352,TSX,DSG,75.52
35444,NasdaqGS,PRGX,7.62
35517,NasdaqCM,THMO,3.51
35546,SET,THG,24.9
35572,NYSE,TDW,12.87
35600,NYSE,TWI,8.35
35601,NasdaqCM,TTNP,3.76
35644,NYSE,DVA,99.98
35695,NasdaqGS,ACIW,42.25
35806,NYSE,TGI,14.58
35871,TSEC,3042,105.0
35922,NYSE,EAF,12.63
35929,NasdaqGS,ULTA,327.91
36005,NYSE,URI,298.49
36018,NasdaqGS,UTHR,174.31
36038,NasdaqGS,UEIC,59.47
36040,NYSE,UHS,131.78
36048,NYSE,UTI,6.32
36096,AMEX,LEU,26.14
36122,NYSE,MTN,307.94
36158,SEHK,710,4.22
36204,SGX,V03,20.05
36216,NasdaqGS,VRSN,193.23
36235,NasdaqGS,VRTX,214.96
36246,CPSE,VWS,1230.5
36274,LSE,VCT,21.8
36427,NasdaqCM,ASUR,8.37
36437,NYSE,WAB,74.13
36464,NasdaqCM,COOP,30.27
36475,NYSE,WAT,279.81
36623,NasdaqGS,WLTW,224.9
36627,NYSE,ITGR,84.85
36652,NasdaqGS,KTOS,30.5
36697,NasdaqGS,WRLD,124.23
36731,NYSE,WEX,226.82
36762,NasdaqGS,XLNX,131.29
36769,NasdaqGM,XOMA,36.72
37870,NasdaqGS,SCHL,29.07
61036,NYSE,IP,49.4
61169,OTCPK,GTLL,0.0114
61243,NYSE,KSS,55.97
61292,NasdaqGS,NATH,61.55
89450,NYSE,CLX,187.77
89806,TSE,2491,3080.0
90207,TSEC,2419,23.85
90323,NasdaqGS,FFIV,192.79
90442,NasdaqGS,HSTM,23.3
91093,NYSE,CRL,283.59
91183,NasdaqGS,TREE,337.5
91280,TASE,ABRA,3.196
91474,AIM,SOM,3.7
91638,ENXTPA,CA,14.9
91675,NYSE,GHC,614.03
91774,ASX,TLS,3.26
91797,NYSE,RRD,2.73
91829,TSE,8031,2214.5
91868,KOSE,A005930,82200.0
92001,NYSE,AXP,135.95
92089,TSE,9424,258.0
92126,BMV,GFINBUR O,18.25
92578,NasdaqGS,BCOR,16.32
92768,NasdaqGS,IHRT,14.84
92816,XTRA,ADS,291.1
92817,NasdaqGS,COST,350.21
92870,NasdaqGM,GNMK,19.82
93027,NYSE,HLX,5.33
93030,NYSE,RRC,10.3
93136,NasdaqGS,BGCP,4.89
93196,NasdaqGS,TTMI,14.41
93339,NasdaqGS,TMUS,117.91
93396,NYSE,KODK,9.06
93425,NYSE,CACI,234.28
93471,ENXTPA,TCH,2.027
93473,NasdaqGS,IMMR,11.55
93486,BIT,ENEL,8.077
93578,NYSE,CNO,24.36
93614,NYSE,RAD,21.82
93624,NasdaqGS,WBA,48.86
93625,NYSE,CVS,70.48
93816,NasdaqCM,PFSW,7.62
93982,CPSE,SIM,787.0
94188,NYSE,NR,3.65
94192,NYSE,IO,3.38
94197,NYSE,OIS,7.2
94238,NasdaqGS,SIRI,6.02
94243,NasdaqGS,TLGT,1.11
94354,NasdaqGS,TESS,9.24
94416,LSE,XAR,1.35
94613,NYSE,HAE,130.72
94614,NYSE,SYK,243.15
94728,NasdaqGS,TER,132.39
94799,NYSE,OII,10.5
94862,LSE,WMH,2.703
94877,TSX,CAS,16.06
95048,ENXTAM,BBED,5.09
95270,SGX,544,0.5
95281,TSEC,2458,174.0
95422,NasdaqGS,INBK,33.45
95673,NasdaqGS,MXIM,95.32
96078,NYSE,JBL,44.09
96079,NasdaqGS,VIAV,16.64
96081,NasdaqGS,EGOV,34.71
96161,NYSE,OMC,70.58
96334,NasdaqGS,WTFC,71.34
96760,NYSE,FUN,48.0
97023,NYSE,TMO,463.28
97199,NYSE,NOC,297.94
97381,ENXTBR,GIMB,49.35
97461,LSE,SN.,14.15
97493,NasdaqGS,RGP,12.82
97706,NasdaqGS,BLKB,72.2
97799,AMEX,AIM,2.44
97928,NasdaqGS,CCOI,58.62
97953,NYSE,MDP,25.79
97999,NYSE,TDC,45.17
98492,NasdaqGS,UTSI,2.07
98506,NYSE,CVX,98.39
98514,NYSE,SITE,157.55
98873,NYSE,HSY,148.25
98883,NasdaqGS,RUTH,21.95
98885,NYSE,PKG,134.32
98924,NYSE,PARR,17.82
99186,NYSE,MSI,180.55
99453,NasdaqCM,GIGM,3.79
99457,NasdaqGS,CUTR,37.03
99505,OM,NDA SE,75.5
100231,NYSE,T,29.32
100918,NYSE,AVA,38.14
100935,NYSE,FIX,61.81
101677,NSEI,HDFCBANK,1548.0
101678,SET,TISCO,89.75
102348,NasdaqGS,PLXS,83.4
102942,TSX,BLU,5.3
102958,TSX,TCS,57.65
103290,SNSE,CCU,5950.0
103292,SEHK,168,71.35
103375,XTRA,BAYN,53.77
103599,NYSE,XRX,24.36
103678,NYSE,BDX,246.02
104117,NasdaqCM,IMBI,6.65
104673,NYSE,UNH,327.64
105057,TSX,CSU,1699.55
105448,XTRA,IFX,36.125
105785,TASE,EMCO,24.95
106335,NYSE,F,11.7
106437,NasdaqGS,JBLU,18.49
106772,XTRA,DAI,66.8
106822,SWX,VONN,68.7
107195,SEHK,8,4.54
107405,NYSE,DHI,77.46
107567,NasdaqCM,SAVA,53.02
107633,NYSE,WY,35.48
107911,NYSE,THC,50.53
108313,AIM,CLP,0.024
108424,NYSE,MSM,85.06
108443,NYSE,WBS,54.4
108544,NasdaqGS,HOLX,74.57
108616,NYSE,IPG,26.49
108655,TSEC,2332,25.45
108674,TSEC,3704,37.75
108675,KLSE,UNISEM,8.77
108677,TSEC,2417,46.25
108678,TSEC,2331,28.2
108680,TSEC,2365,11.2
108682,SZSE,000541,6.46
108683,SZSE,000921,14.59
108839,NasdaqGS,OTEX,45.6
108856,NYSE,HPQ,27.12
109103,NYSE,EMN,113.41
109300,TSX,SJR.B,22.22
109450,NasdaqGS,MKTX,541.07
109809,TSX,RY,111.07
109892,KOSDAQ,A071460,3000.0
110001,NasdaqGS,DISH,32.26
110599,TSEC,2387,68.0
110741,NYSE,LDOS,103.8
110870,TSE,2150,4330.0
111200,ENXTPA,ALADO,0.4
111494,TSE,8303,1541.0
111557,TSX,MDF,15.3
111756,NasdaqGS,SOHU,19.85
112302,NYSE,AN,78.63
112350,NYSE,IBM,120.86
112384,SGX,Z74,2.35
112388,SEHK,315,4.58
112732,NasdaqGS,PYPL,273.85
113329,NYSE,GHL,15.1
114039,NasdaqGS,DXCM,412.06
119661,LSE,GOG,11.26
119853,NYSE,AON,228.72
119902,NasdaqGS,ADSK,297.7
120285,NasdaqGS,SP,31.17
120343,ENXTPA,VIV,29.63
120406,NasdaqGS,RP,86.99
120622,NYSE,SRE,122.66
120623,NYSE,SO,59.29
120798,BIT,MB,9.07
121238,ENXTPA,CS,19.93
121270,NasdaqGS,MRTX,200.27
121289,TSX,GIB.A,95.9
121373,SEHK,857,2.8
121483,NasdaqGM,BBGI,2.87
121509,NasdaqGS,JCOM,109.06
121597,NSEI,TATACONSUM,618.3
121944,OB,KOA,3.285
121969,OM,AZA,270.8
122203,NYSE,BBW,6.31
122655,KWSE,KPROJ,0.172
122668,NZSE,SPK,4.69
122917,NYSE,CRM,240.95
123829,OM,AAK,177.6
123844,NasdaqGS,ANGI,15.05
124219,NasdaqGS,AMKR,23.74
124423,NYSE,FDX,254.67
124565,NYSE,TNET,81.99
124626,OM,NOBI,60.95
124640,OM,INTRUM,227.4
124752,NasdaqGS,NVMI,81.56
125004,NasdaqCM,CYCC,7.76
125027,ENXTPA,SOI,183.2
125064,AIM,RENE,1.12
125070,LSE,VEC,1.1
125117,BME,PVA,0.581
125618,NasdaqGS,QLYS,99.76
125757,NYSE,VMW,143.87
125775,NYSE,DESP,13.82
125899,OM,BURE,302.6
126186,BME,HOME,10.5
126269,NasdaqGS,ADP,170.82
126362,NYSE,QUAD,5.26
126411,NasdaqGS,TRMB,72.52
126475,XTRA,SAP,103.9
126849,ENXTPA,RF,62.0
126855,ENXTBR,REC,12.14
126857,ENXTBR,TNET,34.66
127102,ENXTPA,BVI,21.94
127112,ENXTPA,QDT,19.08
127282,NasdaqGM,MVIS,18.07
127719,NYSE,WBT,15.39
127757,LSE,CCR,2.49
127772,ENXTPA,ELIOR,6.67
127782,BIT,IP,39.44
127800,NasdaqGS,SRGA,2.71
127881,NasdaqGS,QDEL,163.55
127922,HLSE,EVLI,16.65
128001,ENXTPA,ALD,12.18
128034,LSE,SGC,0.9045
128209,NasdaqGS,FISV,113.36
128346,LSE,HSX,9.246
128363,LSE,SXS,31.28
128420,LSE,HAS,1.537
128540,NasdaqGS,TA,31.13
128711,LSE,WG.,2.973
129318,NasdaqGS,HEES,30.16
129349,ENXTPA,BN,57.42
129432,LSE,KIE,0.7915
130705,NYSE,IT,184.48
130776,NasdaqGM,SMTX,5.89
130834,ENXTAM,BOKA,26.26
130863,NasdaqGS,FSTR,17.53
131325,ENXTPA,COX,4.55
131627,NasdaqGS,HA,26.4
131943,NasdaqGS,RRGB,30.09
132858,ENXTPA,CGG,0.972
133041,ENXTPA,CO,27.9
133094,LSE,CINE,0.8804
133103,NasdaqCM,SIFY,3.37
134225,LSE,BMY,2.78
134228,LSE,RWI,0.416
134263,LSE,NEX,3.162
134291,BSE,500010,2652.3
134377,OM,GETI B,222.1
134428,SGX,H22,0.75
134433,BSE,531642,420.55
134992,LSE,PSON,7.378
135029,ENXTPA,IPS,29.7
135212,ENXTPA,ALERS,19.75
135238,ENXTPA,IPN,70.4
135269,ENXTPA,MRN,29.35
135285,ENXTPA,ATO,63.86
135307,NYSE,TWN,29.46
135333,ENXTBR,OBEL,23.4
135398,XTRA,RRTL,47.82
135466,BSE,532454,570.7
135470,NasdaqGS,AEP,76.77
135506,NYSE,BK,43.73
135528,BIT,CPR,9.532
135538,AIM,LTG,1.653
135647,XTRA,MOR,85.5
135657,TSX,KXS,170.97
135695,ENXTPA,ALGEN,3.78
137369,ENXTAM,VVY,14.94
137411,NasdaqGS,MTSC,58.69
137610,NasdaqGS,LQDT,17.82
137717,LSE,DPH,34.98
137757,AMEX,DPW,5.41
137758,NYSE,LXFR,19.45
