symbol,tradePrice
1448,7.74
1003,2.44
8363,2778.0
3913,999.0
002451,5.96
POS,0.895
002069,3.55
LGHL,3.51
1238,5.21
1263,3.64
000509,2.56
6078,61.8
CLH,3.53
2388,25.1
VDCA,54.21
002341,3.48
002746,10.65
ANOD.B,236.5
002669,15.16
300481,22.55
ORI,6.85
VOLARA,31.87
020710A,5440.0
TCAP,2.352
NLTX,12.27
002920,93.47
NEO,16.28
002487,8.75
000982,1.22
NFG,45.83
AWC,4.8
MARA,28.56
002265,6.45
ARR,11.83
159983,1.495
9904,30.35
300505,17.54
300576,44.87
WDAY,261.73
ARW,100.75
REVG,12.58
002772,8.7
002993,51.05
000651,57.28
6188,439.0
UBA,8.55
2154,1422.0
BKU,41.65
BON,227.5
8125,998.0
2399,4.22
3006,92.1
000859,5.08
AC,25.2
099520A,2240.0
MTX,72.01
MUB,20.97
3109,1019.0
603012,5.98
159963,1.044
002725,7.12
2175,3520.0
1460,8.19
SCPL,19.44
DSM,7.66
600674,10.48
2820,14.95
KARN,197.4
MAYBANK,7.89
300059,32.65
300579,36.17
002618,4.92
3341,1596.0
VOT,221.03
BBGI,1.732
159903,1.688
000428,2.99
300632,13.9
BVS,21300.0
7222,804.0
CE,136.96
2634,28.35
002645,11.04
CLTN,108.0
FIBI,98.1
1540,5900.0
002927,10.54
EIM,296.0
EGL,1.74
YNGN,14.5
3679,415.0
2329,0.73
EWC,33.06
002454,5.55
BKT,6.11
300447,12.41
LUXIND,1790.15
000996,9.97
SFOR,0.1901
603416,86.1
9966,712.0
002941,10.7
DOB,10.24
1995,20.2
MRO,1.763
RYAM,8.72
TPZ,11.84
RNT,0.235
2820,126.95
AIF,3.165
4722,31.4
9939,62.2
002320,8.24
AGI,9.47
205470A,5650.0
MSGS,194.25
INTO,21.6
002017,10.36
TOP,292.4
6993,31.0
3296,399500.0
ALK,0.715
603703,12.66
300152,3.86
ABC,15.99
CNC,59.3
2105,44.4
3658,2239.0
002985,159.93
072020A,16250.0
300633,24.27
000903,3.55
ABIO,4.68
MYD,13.96
KAN,17.852
861,5.78
ACP,11.04
PROS,12.71
2292,3410.0
EPR,46.51
VOD,124.41
1801,82.05
HUT,4900.0
300512,10.97
2100,2.18
002074,41.04
6005,5750.0
002213,12.21
300467,13.22
2611,10.2
CRL,282.98
2458,183.5
002077,5.46
6997,1818.0
6703,1041.0
300297,4.77
FM,2.91
FPXI,73.4
NYF,57.86
CVBI11,108.0
000525,6.07
QQQX,26.83
SYNC,2.16
TAR,22400.0
ULICORP,1.25
002636,7.79
U,0.81
300144,19.75
IYF,72.62
SWN,4.14
2660,1.34
1570,33600.0
KRYS,76.56
FPE,46.18
COL,8.215
CBNK,16.08
000008,2.38
RGA,124.8
017800A,43650.0
002970,51.57
CSWC,21.97
OMF,48.9
WM,0.66
ANSS,375.56
2782,3530.0
DMP,94.27
DIV,18.65
137950A,6270.0
771,1.7
000703,18.83
EURL,28.39
BILI A,104.5
002460,109.75
208370A,2335.0
045340A,18450.0
002021,1.72
1308,20.45
1429,618.0
CAI,0.42
NLFSK,145.4
SAMCHEM,1.47
000830,17.23
POW,0.0244
300499,8.9
1799,20.55
LQDA,3.13
6918,3610.0
300263,6.51
DGKLB,2.46
8103,466.0
SYN,0.7042
PD,47.91
300128,3.84
CON,120.5
300416,23.86
EPS,19.45
TIG,8400.0
159811,1.129
CPX,34.94
1329,30650.0
1585,16.76
500290,87714.35
GEM,1.06
5GD,0.805
IIFL,271.4
2288,1696.0
RODRG,23.5
204840A,1220.0
002395,13.44
PAR,2.59
6257,51.3
WOOD,85.39
RS,25.25
002682,3.22
PDN,0.375
000725,6.32
JM,291.9
PPH,68.05
MUB,116.08
REX,0.23
2607,17.05
SLY,91.77
2009,33.8
SAE,27.3
2815,6760.0
UBI,67.96
036090A,1890.0
BBCA,28.72
ASPIRE,58.2
1950,1914.0
CAPC,1.48
WDIV,64.4213
168105,1.834
000425,6.84
8789,75.0
1070,6.55
200581,15.05
603816,76.22
ONE,421.6
LPCN,1.63
TAO,0.685
LEAF,0.41
FXA,78.79
6962,2591.0
COR,11.12
HWK,0.043
SSO,249.4
EDR,8.29
2617,20.0
6049,1132.0
SIS,19.0
8309,3591.0
G13,0.845
MBB,127.5
002945,12.63
STZ,222.38
000788,6.12
ABBN,26.78
ITP,23.24
DOC,2.65
079980A,8170.0
HOT,77.6
002967,36.95
MNP,15.0
UTG,31.8
300405,7.33
300411,7.75
300482,76.83
300166,9.73
FCNCA,783.71
2433,1776.0
000672,22.14
1038,43.35
NXT,11.18
PRKAB,13.44
002274,7.3
BLFS,39.49
TL5,4.658
300615,11.57
515060,0.952
NCZ,0.18
002898,8.45
1348,1965.0
REX,96.4
2426,21.2
GMXT *,27.98
600687,0.3
002742,5.06
AIM,4.44
MKTY,8.25
1367,17620.0
SRFCHA,35.47
2008,1.09
226400A,3760.0
UDCD,1.481
1801,3780.0
000736,6.47
IBMN,27.97
BJKAS,3.87
BWB,14.95
ALG,0.63
002108,4.3
3036,44.3
002969,5.02
300017,6.7
1866,4.12
IVC,9.14
BME,45.94
2124,1681.0
1766,8410.0
SU,123.6
300138,15.84
DCTH,19.24
CS,3.94
DG,87.9
603989,26.6
VRT,6.21
300537,13.21
600268,6.06
002614,13.89
2767,601.0
HFG,65.05
9969,283.0
THD,80.23
002990A,8970.0
2355,34.25
002132,3.13
STAY,15.94
QH,2.34
MDWD,5.25
APPS,8.77
300172,5.31
3788,1.33
APWC,5.32
300530,18.54
REE,0.12
002543,8.09
HEEM,33.53
2150,4005.0
1888,1261.0
ORK,80.34
2400,74.4
002269,1.31
002901,54.4
2444,14.95
ALLDL,55.6
ARV,1.77
000002,29.99
002180,28.01
2283,2.99
HIGHTEC,1.96
002025,52.64
MRC,8.48
002401,12.64
EVFM,4.09
FP,1.565
LL,25.8
MXC,0.087
3024,10.95
00850,32.59
NEX,4.15
WTWB,26.4
4569,1920.0
002090,7.57
MIDD,20.29
SC,26.05
300455,9.48
SQIA3,22.99
1321,30600.0
089030A,21900.0
002336,3.94
SALM,590.0
300288,9.41
MRSHL,320.5
FL,0.97
002761,7.85
XIN,28.13
FF,0.41
017670A,243500.0
KTCC,7.72
1231,46.2
SI,129.8
2493,34.85
078590A,4395.0
000733,57.4
1813,1812.0
036690A,5950.0
2637,27.1
3799,700.0
ARX,1.22
2727,3.07
002410,70.46
2196,430.0
3396,1358.0
002480,4.84
STX,72.21
BCVN,97.1
GEM,40.9
SRACU,21.11
6820,2.38
TYM,0.00535
1086,1.16
1306,1980.0
000691,5.15
159958,1.75
SOL,327.0
1542,9000.0
8103,3.17
000796,10.26
BNR,36.69
002277,3.37
002245,10.68
2419,23.45
2432,2221.0
3033,19.4
RUSHA,38.88
000617,6.58
000301,15.13
SOI,2.755
ITAUCORP,2.571
1655,2915.0
AN,0.2
000612,8.17
GPM,0.48
8059,4080.0
6367,21230.0
000776,16.29
1317,2.13
UCTT,46.59
3970,3225.0
002056,14.41
AGR,45.23
2545,36.7
DNL,79.7144
2382,197.4
FSR,50.67
GNMA,50.57
9945,1897.0
4746,4170.0
CROX,80.01
2427,1521.0
002133,2.86
601669,3.89
SEAG,109.99
300004,5.86
002129,26.86
300345,4.86
GDXJ,42.48
3328,2415.0
TLMAN,33.2
1911,25.95
FR,43.0
TDOC,256.0
CBOE,97.51
DTE,125.62
STRONG,32.2
000529,6.35
4062,4455.0
300515,9.31
600742,9.49
DORM,102.05
WINA,177.97
MMM,176.17
IAA,61.02
ONTEX,8.595
LNF,20.73
4568,3173.0
603867,24.81
PRPL,37.05
VFC,79.72
CERV,6.9
3300,0.83
XEC,57.02
086960A,14850.0
300226,53.68
8462,163.0
1829,3.56
ATO,89.63
300299,6.28
2812,25.74
002483,4.7
002241,33.8
300126,6.61
1909,23.75
002048,17.54
2722,0.66
000972,1.69
3969,3.12
BRG,28.9
BLX,1.79
603088,7.0
FPAY,2.99
LOV,15.37
064760A,159800.0
002732,20.38
1741,1.64
DCC,0.092
002809,10.13
DM,0.305
CGO,92.64
002441,7.47
144,11.34
FRGI,15.69
002449,8.57
002423,8.88
CNA,0.535
1521,5.35
002309,4.52
002498,3.65
IPL,17.78
016360A,37350.0
TCS,50.9
7625,232.0
002960A,243000.0
GQRE,59.7552
MTH,73.55
AGRO,1415.0
2385,90.9
IOO,82.03
VCLT,103.38
2382,85.5
006390A,38250.0
688036,185.3
SYB3,52.24
2020,127.6
9201,2503.0
8341,220.0
1201,20.65
005960A,12050.0
3673,505.0
067010A,5180.0
GSBC,52.6
002047,3.17
2GB,89.2
ATE,86.8
300309,2.59
UBA,16.69
9928,2152.0
002246,6.73
AIP,43.3
UNI,4.41
2386,4.16
AMS,60.0
IBHB,24.29
1250,0.113
CLW,4.68
1907,26.65
TFG,10.15
4745,670.0
EML,0.064
6855,1789.0
205500A,2170.0
LDP,25.19
GNRS,1.059
300241,6.23
2109,1902.0
000856,6.45
1431,0.85
TSG,6.61
002471,2.36
6849,2929.0
002825,14.65
002087,3.58
2238,7.44
320000A,2805.0
4998,1610.0
300175,4.4
K,59.28
002393,18.11
ADN,18.01
JT,2.79
WFT,83.81
SHG,0.142
EAST,1.91
002979,44.29
GENM,0.92
002656,1.5
ZRE,22.04
IPF,0.825
002431,3.12
FM,30.67
MOH,11.3
AI,2.38
002631,6.0
2613,3795.0
6823,2874.0
2834,9.59
G,15.565
EWI,30.29
KSM.F96,98.49
MRO,11.16
000720,3.72
3026,120.5
002562,5.17
1339,2.45
CVX,99.63
595,0.64
208,1.46
4284,1009.0
002442,5.13
FFXD.F,12.14
002995,47.11
GNE,7.73
SML,0.00498
MOGO,8.94
300107,5.58
SNPE,33.94
NFH,10.98
2342,645.0
4528,3020.0
BIO,2.135
EWI,3.83
002621,5.1
TWI,8.51
QEMM,69.1347
WELL,70.6
ZEN,149.56
MUS,34.72
NPK,108.42
002912,48.85
002839,5.79
000523,2.61
KGH,3.9
603901,10.11
6677,1326.0
ESCERAM,0.79
IPL,2.55
1398,5.17
RMS,0.0156
FDM,56.9321
2613,17.85
EVN,13.18
VEA,1.76
ROBO,21.82
2931,956.0
YUMC,60.12
002134,8.39
220,9.14
039840A,34950.0
ALMAK,0.276
002589,4.76
PLIN,1.26
300440,7.21
000937,3.52
SCU,0.029
EAH,0.035
EMQQ,17.326
GMEXICOB,108.29
MIC,43.3
002050,24.26
300242,4.38
BEST,162.0
