companyId,symbol,tradePrice,lastClosePrice,slippage
4149357,004000A,52700.0,54100.0,-2.5878003696857665
432220968,SNDL,1.26,1.43,-11.888111888111885
228093038,IVH,13.29,13.34,-0.37481259370315545
343688,CASH,44.71,44.04,1.5213442325159088
108424,MSM,85.53,85.06,0.5525511403714933
636512720,159982,1.397,1.43,-2.3076923076922995
3103127,AOT,1.18,1.24,-4.838709677419361
8188919,2342,2.42,2.56,-5.46875
69952482,300102,5.82,4.97,17.102615694165003
266729261,002765,4.74,4.72,0.4237288135593209
883561,1938,2414.0,2494.0,-3.2076984763432237
5403234,EPRO B,45.74,45.01,1.6218618084870018
9735953,000793,2.21,2.25,-1.7777777777777781
22247,ORCL,64.5,64.45,0.07757951900697613
10404279,ORHD,5.23,4.87,7.392197125256672
9516536,MAALT,220.5,241.0,-8.506224066390045
876985,116,10.3,10.72,-3.917910447761197
110055830,300119,25.5,25.2,1.1904761904761862
204710187,300317,6.13,6.24,-1.7628205128205177
652794869,EMRI,5.98,6.2,-3.548387096774186
5422073,000628,9.19,9.16,0.3275109170305601
9535750,074600A,19700.0,20450.0,-3.6674816625916873
679534,DIA,158.2,164.3,-3.7127206329884532
882425,2908,1991.0,2003.0,-0.5991013479780372
3110773,GAM,38.56,38.63,-0.18120631633445905
106835239,2128,14.46,15.74,-8.132147395171529
24349084,NOR,135.5,136.0,-0.3676470588235281
13010909,002404,6.19,6.24,-0.8012820512820484
1181227,8462,675.0,695.0,-2.877697841726623
12961418,2014,16.5,15.65,5.4313099041533475
134645280,002724,6.87,6.81,0.8810572687224738
41660849,002537,5.93,5.86,1.1945392491467421
109230640,2270,2211.0,2189.0,1.005025125628145
8690249,ROKU,415.87,437.28,-4.896176362971083
9682230,2441,71.2,74.5,-4.4295302013422795
350676,SMSI,6.99,7.17,-2.5104602510460206
308587841,BBUS,1.42,1.405,1.0676156583629748
5422245,600879,7.16,6.99,2.4320457796852546
113628266,002641,6.44,6.79,-5.154639175257724
9829321,1734,31.4,33.4,-5.988023952095811
558829092,1833,116.8,122.3,-4.497138184791494
655659,FLR,19.46,19.12,1.778242677824271
6462589,3998,3.36,3.37,-0.29673590504452063
7756157,1310,10.86,11.14,-2.513464991023351
20343820,000861,2.22,2.25,-1.3333333333333197
6476346,2726,1644.0,1640.0,0.24390243902439046
589150188,1675,12.52,12.04,3.9867109634551534
44702302,DCP,22.7,23.39,-2.949978623343319
117733177,VOC,2.95,3.0,-1.6666666666666607
38550219,002182,12.43,12.61,-1.4274385408405976
44679297,002235,3.81,3.72,2.4193548387096753
62497983,300054,19.28,20.12,-4.174950298210733
20685272,002467,5.8,5.84,-0.6849315068493178
100704689,1515,6.57,7.11,-7.594936708860756
12739153,002007,44.6,47.11,-5.327955848015275
51755684,SIVR,26.75,27.32,-2.086383601756958
116199789,002539,10.09,10.83,-6.8328716528162525
266344076,002830,9.11,9.02,0.9977827050997812
27440622,002151,44.71,44.45,0.5849268841394695
117424318,RMI,31.4,31.01,1.2576588197355631
36059869,002164,8.53,8.98,-5.011135857461035
145462431,300318,9.31,9.64,-3.4232365145228205
32427965,097520A,54100.0,57300.0,-5.584642233856895
93030,RRC,10.43,10.3,1.2621359223300876
2445573,2910,1538.0,1555.0,-1.0932475884244397
45837092,SL,20.7,20.6,0.4854368932038833
2457663,SIG,0.655,0.675,-2.9629629629629672
9870789,2020,20.05,19.45,3.084832904884327
275034339,6118,5.19,5.12,1.3671875
547797906,PAGS,58.05,58.35,-0.5141388174807249
34616783,002422,21.88,20.92,4.588910133843194
6476754,000538,138.0,145.55,-5.1872208862933755
883781,SRBANK,99.6,97.0,2.680412371134011
880262,6706,2870.0,2943.0,-2.4804621134896343
637371200,ALHYG,0.258,0.25,3.200000000000003
34817761,065660A,60500.0,60300.0,0.3316749585406287
880083,ING,181.6,181.6,0.0
9870765,2601,9.97,10.05,-0.7960199004975133
267819,DNP,10.62,10.57,0.47303689687794304
115024900,3686,322.0,320.0,0.6250000000000089
30643,LH,247.15,243.86,1.3491347494464012
12786660,823,72.5,69.8,3.86819484240688
319637838,300514,9.96,9.4,5.957446808510647
10697363,064550A,16100.0,18200.0,-11.538461538461542
20343065,046390A,3740.0,4295.0,-12.922002328288706
108169161,SOYB,21.09,20.8,1.3942307692307754
650981028,ATEC,22.4,24.05,-6.860706860706866
116448742,HUM,0.22,0.236,-6.779661016949145
171364661,002663,1.73,1.77,-2.259887005649719
816889,REG,55.22,53.81,2.620330793532788
262832822,300443,37.08,36.33,2.064409578860449
25104682,TKO,24.8,24.5,1.2244897959183598
12721855,002310A,45300.0,46900.0,-3.4115138592750505
302516,IIN,21.81,21.84,-0.13736263736264798
37260341,LIT,0.145,0.145,0.0
1108195,ADUS,115.09,115.52,-0.37222991689750407
4863415,MHI,12.03,12.09,-0.496277915632759
325166139,IHL,0.22,0.24,-8.333333333333325
568611787,SFOR,4.4,4.76,-7.563025210084017
288621788,DLRTRAC 15,20.02,20.15,-0.6451612903225712
32589286,300002,4.55,4.71,-3.397027600849256
874829,CARLSBG,23.3,24.0,-2.9166666666666674
48710124,002271,47.3,50.33,-6.020266242797534
29596672,PSL,91.185,92.07,-0.9612251547735373
310228890,ISPY,17.0775,17.52,-2.525684931506844
8952591,SENS,1.488,1.486,0.13458950201883368
217750659,CORP,106.82,107.07,-0.23349210796674846
326925892,7047,679.0,682.0,-0.4398826979472137
276273348,300566,43.48,41.88,3.8204393505252954
145675176,300389,8.08,8.09,-0.12360939431396156
12453551,ICAD,59.65,58.0,2.8448275862068995
13009566,2425,785.0,832.0,-5.649038461538458
59368793,002499,6.66,6.04,10.264900662251652
12752636,000806,1.7,1.72,-1.1627906976744207
12963216,600802,7.76,7.85,-1.146496815286624
304013074,PTNQ,52.6377,52.67,-0.06132523258021161
174336,DAN,23.32,23.31,0.04290004290004035
11381883,000572,3.01,2.97,1.3468013468013407
20332920,AIT,20.1,20.0,0.5000000000000115
30466763,002100,12.81,13.32,-3.828828828828823
9682881,2885,21.6,21.3,1.4084507042253502
881412,000045,7.28,7.24,0.5524861878453136
35259,TEN,10.7,10.94,-2.1937842778793404
36583266,RUL,1.145,1.18,-2.9661016949152463
828895,BARN,1997.0,1961.0,1.8357980622131675
228614356,HASI,56.99,57.75,-1.316017316017315
156527194,PURA,0.032,0.03886,-17.653113741636638
264974542,SCI,53700.0,54000.0,-0.5555555555555536
878418,HMSP,1350.0,1380.0,-2.1739130434782594
290705819,1456,4330.0,4265.0,1.5240328253223856
559865166,DWSH,9.79,9.86,-0.7099391480730244
315476,ZION,54.17,53.36,1.5179910044977651
9221339,4564,130.0,132.0,-1.5151515151515138
327787022,HLT,0.99,1.02,-2.941176470588236
31315595,002114,7.0,7.21,-2.9126213592232997
116114826,002740,4.74,4.93,-3.853955375253537
4306246,HONE,11.95,11.865,0.716392751790984
262886628,PANL,2.98,3.11,-4.180064308681663
876853,RCH,2.3,2.37,-2.9535864978903037
144112934,1830,4.96,5.29,-6.238185255198491
5750546,012200A,4560.0,4950.0,-7.878787878787874
428898270,PRSR,0.88,0.88,0.0
649839447,159987,1.681,1.735,-3.112391930835734
290728174,300617,41.21,42.87,-3.8721716818287732
78718895,002329,3.98,4.04,-1.4851485148514865
22286873,6158,1092.0,1107.0,-1.3550135501354976
649186850,515330,1.402,1.455,-3.6426116838488065
